,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Jan,n/a,1308,756,419,405,311,220,198,20,5,4,2,0,2,1,1,0,0,0,0
Feb,n/a,468,274,175,165,125,107,78,8,7,5,4,2,0,0,0,0,0,0,1
Mar,n/a,601,301,235,165,140,104,83,11,3,5,7,1,1,0,0,0,0,0,0
Apr,n/a,389,237,172,130,127,108,67,4,4,4,2,2,0,1,0,0,0,0,0
May,n/a,315,220,168,108,135,107,60,6,5,4,0,0,0,3,0,0,0,0,0
Jun,n/a,654,338,325,231,245,178,100,1,3,2,2,2,1,0,0,0,0,0,0
Jul,516,1120,601,600,415,396,274,133,6,4,4,2,2,0,1,0,0,0,1,0
Aug,2795,2212,913,815,541,439,326,125,4,3,7,1,1,0,1,0,0,0,0,0
Sep,3599,2433,862,790,494,392,257,87,7,5,4,4,0,1,1,1,0,0,0,0
Oct,2484,1567,574,480,387,290,219,74,6,0,4,1,1,1,1,0,1,0,0,0
Nov,1457,957,351,305,263,209,170,77,2,7,4,5,0,0,0,0,1,0,0,0
Dec,1129,724,324,300,236,207,136,36,3,1,0,1,0,0,0,0,0,0,0,0
Total,11980,12748,5751,4784,3540,3016,2206,1118,78,47,47,31,11,6,9,2,2,0,1,1
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
