Year of Birth,Great Britain,Northern Ireland,United Kingdom
1974,1,0,1
1975,0,0,0
1976,2,0,2
1977,10,1,11
1978,6,0,6
1979,41,3,44
1980,102,3,105
1981,262,7,269
1982,1394,6,1400
1983,4463,28,4491
1984,8069,51,8120
1985,11071,170,11241
1986,19755,222,19977
1987,36938,540,37478
1988,22270,488,22758
1989,12748,132,12880
1990,5751,70,5821
1991,4784,50,4834
1992,3540,45,3585
1993,3016,73,3089
1994,2206,106,2312
1995,1118,130,1248
1996,78,33,111
1997,47,11,58
1998,47,6,53
1999,31,5,36
2000,11,4,15
2001,6,1,7
2002,9,0,9
2003,2,3,5
2004,2,0,2
2005,0,0,0
2006,1,0,1
2007,1,0,1
Unknown,43350,1,43351
Totals,181132,2189,183321
