Rolling 12 month period 4,,"Cattle population over
24 months of age 1",Number of confirmed cases of BSE in the same time period,,,Confirmed cases per Million head of cattle population,,
,,Millions,"By date of confirmation 2,5,6",,By date of restriction 3,"By date of confirmation 2,5,6",,By date of restriction 3
Jan-97,Dec-97,5.504,4875,,"4,333",885.7,,787.2
Jan-98,Dec-98,5.498,3463,,"3,197",629.9,,581.5
Jan-99,Dec-99,5.502,2686,,"2,263",488.2,,411.3
Jan-00,Dec-00,5.309,1563,,"1,331",294.4,,250.7
Jan-01,Dec-01,5.086,1155,355,814,227.1,69.8,160
Jan-02,Dec-02,4.988,1209,668,473,242.4,133.9,94.8
Jan-03,Dec-03,4.975,670,482,185,134.7,96.9,37.2
Jan-04,Dec-04,4.962,362,261,90,73,52.6,18.1
Jan-05,Dec-05,4.903,228,187,39,79.5,38.1,9.4
Jan-06,Dec-06,4.932,131,113,15,42.1,22.9,3.6
Jan-07,Dec-07,4.914,65,58,7,30.2,11.8,1.7
Jan-08,Dec-08,4.824,41,39,2,14.3,8.1,0.5
Feb-08,Jan-09,4.824,36,34,2,13.1,7,0.5
Mar-08,Feb-09,4.824,33,31,1,13.4,6.4,0.2
Apr-08,Mar-09,4.824,30,29,1,12.6,6,0.2
May-08,Apr-09,4.824,26,25,1,11.7,5.2,0.2
Jun-08,May-09,4.824,26,25,1,11.7,5.2,0.2
Jul-08,Jun-09,4.824,24,23,1,10.1,4.8,0.2
Aug-08,Jul-09,4.718,23,22,1,10.2,4.7,0.3
Sep-08,Aug-09,4.718,22,21,0,9.9,4.5,0
Oct-08,Sep-09,4.718,19,19,0,9.2,4,0
Nov-08,Oct-09,4.718,17,17,0,7.6,3.6,0
Dec-08,Nov-09,4.718,13,13,1,6.6,2.8,0.3
Jan-09,Dec-09,4.718,12,11,1,6.3,2.3,0.3
Feb-09,Jan-10,4.718,12,11,1,6.3,2.3,0.3
Mar-09,Feb-10,4.718,13,12,1,5.5,2.5,0.3
Apr-09,Mar-10,4.718,12,11,1,4.1,2.3,0.3
May-09,Apr-10,4.718,14,13,1,4.6,2.8,0.3
Jun-09,May-10,4.718,13,12,1,4.4,2.5,0.3
Jul-09,Jun-10,4.718,12,11,1,4.1,2.3,0.3
Aug-09,Jul-10,4.774,11,10,1,3.8,2.1,0.2
Sep-09,Aug-10,4.774,12,11,1,4.1,2.3,0.2
Oct-09,Sep-10,4.774,12,11,1,4.1,2.3,0.2
Nov-09,Oct-10,4.774,13,12,1,4.3,2.5,0.2
Dec-09,Nov-10,4.774,12,11,0,3,2.3,0
Jan-10,Dec-10,4.774,11,11,0,2.7,2.3,0
Feb-10,Jan-11,4.774,12,12,0,4.1,2.5,0
Mar-10,Feb-11,4.774,9,9,0,3.3,1.9,0
Apr-10,Mar-11,4.774,9,9,0,3.3,1.9,0
May-10,Apr-11,4.774,7,7,0,2.8,1.5,0
Jun-10,May-11,4.774,7,7,0,2.8,1.5,0
Jul-10,Jun-11,4.774,8,8,0,3.1,1.7,0
Aug-10,Jul-11,4.667,9,9,0,4.5,1.9,0
Sep-10,Aug-11,4.667,8,8,0,4.2,1.7,0
Oct-10,Sep-11,4.667,8,8,0,4.2,1.7,0
Nov-10,Oct-11,4.667,7,7,0,4,1.5,0
Dec-10,Nov-11,4.667,6,6,0,3.7,1.3,0
Jan-11,Dec-11,4.667,7,7,0,4,1.5,0
Feb-11,Jan-12,4.667,6,6,0,2.6,1.3,0
Mar-11,Feb-12,4.667,7,7,0,2.9,1.5,0
Apr-11,Mar-12,4.667,6,6,0,2.6,1.3,0
May-11,Apr-12,4.667,6,6,0,2.6,1.3,0
Jun-11,May-12,4.667,6,6,0,2.6,1.3,0
Jul-11,Jun-12,4.672,5,5,0,2.4,1.1,0
Aug-11,Jul-12,4.576,5,5,0,2.4,1.1,0
Sep-11,Aug-12,4.576,5,5,0,2.4,1.1,0
Oct-11,Sep-12,4.576,5,5,0,2.4,1.1,0
Nov-11,Oct-12,4.576,5,5,0,2.4,1.1,0
Dec-11,Nov-12,4.576,5,5,0,2.4,1.1,0
Jan-12,Dec-12,4.576,4,4,0,2.1,0.9,0
Feb-12,Jan-13,4.576,3,3,0,1.9,0.7,0
Mar-12,Feb-13,4.576,2,2,0,1.6,0.4,0
Apr-12,Mar-13,4.576,2,2,0,1.6,0.4,0
May-12,Apr-13,4.576,2,2,0,1.6,0.4,0
Jun-12,May-13,4.576,3,3,0,1.9,0.7,0
Jul-12,Jun-13,4.576,3,3,0,1.9,0.7,0
Aug-12,Jul-13,4.576,2,2,0,0.5,0.4,0
Sep-12,Aug-13,4.576,2,2,0,0.5,0.4,0
Oct-12,Sep-13,4.576,2,2,0,0.5,0.4,0
Nov-12,Oct-13,4.576,2,2,0,0.5,0.4,0
Dec-12,Nov-13,4.576,2,2,0,0.5,0.4,0
Jan-13,Dec-13,4.576,1,1,0,0.3,0.2,0
Feb-13,Jan-14,4.576,1,1,0,0.3,0.2,0
Mar-13,Feb-14,4.576,1,1,0,0.3,0.2,0
Apr-13,Mar-14,,,,,,,
May-13,Apr-14,,,,,,,
Jun-13,May-14,,,,,,,
Jul-13,Jun-14,,,,,,,
Aug-13,Jul-14,,,,,,,
Sep-13,Aug-14,,,,,,,
Oct-13,Sep-14,,,,,,,
Nov-13,Oct-14,,,,,,,
Dec-13,Nov-14,,,,,,,
Jan-14,Dec-14,,,,,,,
